Accession_ENSEMBL,Rob_Transcript_Class,Symbol
ENSMUST00000098112.7,99,Dnajb5
ENSMUST00000020629.4,99,Gfpt2
ENSMUST00000096045.6,99,Dppa4
ENSMUST00000184174.1,99,Gm27801
ENSMUST00000092368.7,99,Tspear
ENSMUST00000023532.6,99,Ccdc14
ENSMUST00000168545.6,99,Adcy7
ENSMUST00000172184.1,99,Serpinb6c
ENSMUST00000034846.5,99,1700017B05Rik
ENSMUST00000001254.5,99,Slc26a3
ENSMUST00000127537.4,99,Gm28053
ENSMUST00000026210.4,99,Cpn1
ENSMUST00000067410.12,99,Dgkk
ENSMUST00000111208.1,99,Defb30
ENSMUST00000039959.9,99,1810046K07Rik
ENSMUST00000164605.6,99,4930405O22Rik
ENSMUST00000103209.8,99,Mmp28
